CustomerID,Q109_1,QS2,QS3,AGE,hqAge,hqSportsParticipate_1,hqSportsParticipate_2,hqSportsParticipate_3,hqSportsParticipate_4,hqSportsParticipate_98,hqSportsEver_1,hqSportsEver_2,hqSportsEver_3,hqSportsEver_4,hqSportsEver_5,hqSportsEver_6,hqSportsEver_7,hqSportsEver_8,hqSportsEver_9,hqSportsEver_10,hqSportsEver_11,hqSportsEver_12,hqSportsEver_98,hqNumberOfSports_1,hqRun,hqCycle,hqTri,hqRunCycleTri,hqSpend,QS6_1,QS6_2,QS6_3,QS6_4,QS6_5,QS6_6,QS6_7,QS6_8,QS6_9,QS6_10,QS6_11,QS6_98,hqTrack,hqGPS,QS7_1,QS7_2,QS7_3,QS7_4,QS7_5,QS7_6,QS7_7,QS7_8,QS7_9,QS8,hqIndoorTrainer,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,cluster
387,non-sample,1,74,47,7,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,10,1,1,1,1,3,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,1,2,2,3,3,2,3,3,4,3,1,2,4,4,4,4,5,2,4,4,2,1,4,3,1
389,non-sample,1,73,48,7,NA,1,1,NA,1,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,9,2,1,2,1,3,0,0,1,1,0,1,0,0,0,1,0,0,1,2,0,0,1,0,1,0,1,0,0,5,1,4,4,2,2,3,4,3,4,1,4,4,5,4,5,4,5,2,2,4,2,4,2,4,2
390,non-sample,1,73,48,7,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,NA,1,1,NA,NA,NA,6,2,1,2,1,3,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,5,1,3,3,1,2,2,4,2,3,4,4,1,5,4,2,5,5,4,4,5,5,4,3,4,3
391,non-sample,1,73,48,7,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,1,NA,NA,NA,7,1,1,2,1,3,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,5,1,2,4,1,3,4,4,2,2,3,3,3,3,5,4,2,4,4,1,1,2,2,3,2,1
396,non-sample,1,71,50,8,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,12,1,1,1,1,3,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,5,1,2,3,2,3,2,3,2,2,3,2,3,4,5,3,4,4,4,3,5,1,2,4,4,2
397,non-sample,1,71,50,8,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,9,2,1,2,1,3,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,5,1,4,2,1,1,3,3,2,3,4,2,3,4,5,3,4,5,5,4,4,4,4,2,5,2
400,non-sample,1,70,51,8,NA,1,NA,NA,1,1,1,NA,NA,1,1,NA,1,1,1,NA,1,1,9,2,1,2,1,3,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,6,1,4,4,4,4,1,4,4,1,4,4,1,2,1,3,1,1,1,1,1,1,1,3,1,1
403,non-sample,1,70,51,8,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,5,2,1,2,1,2,0,0,0,1,0,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,5,1,1,4,1,1,1,1,1,2,1,2,2,5,5,5,5,5,3,5,5,5,4,3,5,3
405,non-sample,1,68,53,8,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,1,1,8,2,1,2,1,3,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,5,1,2,1,1,1,2,1,2,3,3,4,3,3,4,3,4,4,5,3,5,4,4,2,5,3
407,non-sample,1,67,54,8,NA,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,6,2,1,2,1,2,0,0,1,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,5,1,2,4,2,1,2,1,3,2,2,3,3,2,2,1,1,1,2,2,2,1,3,2,2,1
409,non-sample,1,65,56,9,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,1,10,1,1,1,1,3,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,5,1,2,1,1,2,2,3,3,4,1,3,3,4,3,2,4,3,3,2,2,4,3,3,3,2
410,non-sample,1,64,57,9,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,3,0,0,1,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,7,1,4,4,1,1,2,4,4,3,3,4,4,4,5,5,2,5,4,3,5,5,3,5,5,2
412,non-sample,1,63,58,9,NA,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,11,2,1,2,1,3,0,0,1,1,0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,1,5,1,4,4,1,1,1,4,1,1,2,4,4,5,5,3,4,5,5,5,5,5,5,1,5,3
413,non-sample,1,63,58,9,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,12,2,1,1,1,3,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,5,1,2,4,2,3,2,2,1,3,1,4,3,4,3,4,4,5,4,4,5,4,3,3,4,2
414,non-sample,1,62,59,9,NA,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,11,2,1,2,1,2,0,0,0,0,0,1,0,0,1,1,1,1,1,2,0,1,0,0,0,0,0,1,0,7,1,2,3,2,2,2,1,2,3,3,3,3,4,4,3,3,4,2,4,3,5,4,3,3,2
415,non-sample,2,62,59,9,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,1,9,1,1,1,1,3,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,5,1,1,1,1,1,1,1,1,1,1,1,4,3,3,5,5,5,1,3,3,1,2,1,4,3
417,non-sample,2,60,61,10,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,6,1,1,2,1,2,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,1,0,4,1,3,4,1,1,1,4,2,1,4,3,4,5,4,4,1,5,1,2,4,4,3,1,4,1
418,non-sample,1,60,61,10,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,11,2,1,1,1,3,0,0,1,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,6,1,3,2,4,2,3,2,2,3,1,3,3,3,4,5,2,5,4,4,4,3,4,2,3,2
423,non-sample,1,57,64,10,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,NA,NA,1,9,2,1,1,1,3,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,5,1,3,4,2,3,2,4,2,4,4,3,2,3,5,2,4,4,4,4,4,2,2,1,2,1
428,non-sample,1,98,23,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,3,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,6,1,2,4,2,3,2,1,3,1,1,4,4,3,5,4,1,4,4,4,5,3,4,2,5,2
432,non-sample,1,97,24,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,12,1,1,1,1,3,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,5,1,2,2,2,3,1,1,1,2,1,1,2,3,4,5,2,4,4,4,4,4,5,3,5,3
